Accession	Description	Plasmid	Length	Organism	Species	Genus	Family	Order	Class	Phylum	Domain	Collection_date	Geo_location	Isolation_source	Note
NZ_LR890396.1	"Klebsiella pneumoniae isolate INF044-sc-2279940 plasmid 2, complete sequence"	plasmid 2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890397.1	"Klebsiella pneumoniae isolate INF044-sc-2279940 plasmid 3, complete sequence"	plasmid 3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890398.1	"Klebsiella pneumoniae isolate INF044-sc-2279940 plasmid 4, complete sequence"	plasmid 4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890361.1	"Klebsiella pneumoniae isolate INF049-sc-2279950 plasmid 2, complete sequence"	plasmid 2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890362.1	"Klebsiella pneumoniae isolate INF049-sc-2279950 plasmid 3, complete sequence"	plasmid 3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890363.1	"Klebsiella pneumoniae isolate INF049-sc-2279950 plasmid 4, complete sequence"	plasmid 4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890364.1	"Klebsiella pneumoniae isolate INF049-sc-2279950 plasmid 5, complete sequence"	plasmid 5	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890365.1	"Klebsiella pneumoniae isolate INF049-sc-2279950 plasmid 6, complete sequence"	plasmid 6	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890366.1	"Klebsiella pneumoniae isolate INF049-sc-2279950 plasmid 7, complete sequence"	plasmid 7	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890367.1	"Klebsiella pneumoniae isolate INF049-sc-2279950 plasmid 8, complete sequence"	plasmid 8	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890368.1	"Klebsiella pneumoniae isolate INF049-sc-2279950 plasmid 9, complete sequence"	plasmid 9	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890666.1	"Klebsiella pneumoniae isolate INF065-sc-2279980 plasmid 2, complete sequence"	plasmid 2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890667.1	"Klebsiella pneumoniae isolate INF065-sc-2279980 plasmid 3, complete sequence"	plasmid 3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890668.1	"Klebsiella pneumoniae isolate INF065-sc-2279980 plasmid 4, complete sequence"	plasmid 4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890186.1	"Klebsiella pneumoniae isolate INF072-sc-2279995 plasmid 2, complete sequence"	plasmid 2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
